Item Name,Description,Price
IDOM 51 Permanent Revol,The Permanent Revolution,8.0
IDOM 50 Reform or Rev,Reform or Revolution?,8.0
IDOM 49 1945 ... Betrayal,1945 Liberation Revolution and Betrayal,8.0
IDOM 48 Science ... revolution,Science Progress crisis and revolution,8.0
IDOM 47 The Struggle ... Revolution,The Struggle for World Revolution,8.0
IDOM 46 The Necessity of Art,The Necessity of Art,8.0
IDOM 45 The African Revolution,The African Revolution,8.0
IDOM 44 LENIN LIVES!,LENIN LIVES! 1924-2024,8.0
IDOM 43 Struggle for Communism,The Struggle for Communism,8.0
IDOM 42 The State,The State,8.0